,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score,ParameterName,Parameter
27,Industrial_Estate,101.26582278481013,ROOTSIFT,0.5822784810126582,0.00575,0.99425,0.00575,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
28,Industrial_Estate,101.26582278481013,ROOTSIFT,2.5443037974683542,0.0251249999999999,0.974875,0.025125,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
29,Industrial_Estate,101.26582278481013,ROOTSIFT,0.5443037974683544,0.005375,0.994625,0.005375,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
30,Industrial_Estate,101.26582278481013,ROOTSIFT,1.4177215189873418,0.014,0.986,0.0139999999999999,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
31,Industrial_Estate,101.26582278481013,ROOTSIFT,9.139240506329116,0.09025,0.90975,0.09025,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
32,Industrial_Estate,101.26582278481013,ROOTSIFT,0.4556962025316455,0.0045,0.9955,0.0044999999999999,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
33,Industrial_Estate,101.26582278481013,ROOTSIFT,4.443037974683544,0.043875,0.956125,0.043875,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
34,Industrial_Estate,101.27848101265825,ROOTSIFT,2.329113924050633,0.02299712535933,0.97700287464067,0.02299712535933,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
35,Industrial_Estate,101.26582278481013,ROOTSIFT,2.240506329113924,0.022125,0.977875,0.022125,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
36,Industrial_Estate,101.26582278481013,ROOTSIFT,5.468354430379747,0.054,0.946,0.054,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
37,Industrial_Estate,101.26582278481013,ROOTSIFT,2.5443037974683542,0.0251249999999999,0.974875,0.025125,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
38,Industrial_Estate,101.26582278481013,ROOTSIFT,2.354430379746836,0.02325,0.97675,0.0232499999999999,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
39,Industrial_Estate,101.26582278481013,ROOTSIFT,2.9746835443037973,0.029375,0.970625,0.029375,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
40,Industrial_Estate,101.27848101265825,ROOTSIFT,6.2405063291139244,0.0616172978377702,0.9383827021622296,0.0616172978377702,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
41,Industrial_Estate,101.26582278481013,ROOTSIFT,0.2151898734177215,0.002125,0.997875,0.002125,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
42,Industrial_Estate,101.26582278481013,ROOTSIFT,0.0886075949367088,0.000875,0.999125,0.0008749999999999,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
43,Industrial_Estate,101.26582278481013,ROOTSIFT,2.2531645569620253,0.02225,0.97775,0.02225,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
44,Industrial_Estate,101.26582278481013,ROOTSIFT,3.683544303797469,0.036375,0.963625,0.036375,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
45,Industrial_Estate,101.26582278481013,ROOTSIFT,0.0886075949367088,0.000875,0.999125,0.0008749999999999,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
46,Industrial_Estate,101.26582278481013,ROOTSIFT,1.6708860759493671,0.0165,0.9835,0.0165,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
47,Industrial_Estate,101.26582278481013,ROOTSIFT,0.8987341772151899,0.008875,0.991125,0.0088749999999999,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
48,Industrial_Estate,101.26582278481013,ROOTSIFT,1.1139240506329111,0.011,0.989,0.011,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
49,Industrial_Estate,101.29113924050633,ROOTSIFT,2.59493670886076,0.0256185953511622,0.9743814046488378,0.0256185953511621,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
50,Industrial_Estate,101.26582278481013,ROOTSIFT,0.2278481012658227,0.00225,0.99775,0.0022499999999999,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
51,Industrial_Estate,101.26582278481013,ROOTSIFT,2.2151898734177213,0.021875,0.978125,0.021875,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
52,Industrial_Estate,101.26582278481013,ROOTSIFT,0.3164556962025316,0.003125,0.996875,0.003125,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
53,Industrial_Estate,101.26582278481013,ROOTSIFT,0.3924050632911392,0.003875,0.996125,0.0038749999999999,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
54,Industrial_Estate,101.26582278481013,ROOTSIFT,4.468354430379747,0.044125,0.955875,0.0441249999999999,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
55,Industrial_Estate,101.26582278481013,ROOTSIFT,0.5443037974683544,0.005375,0.994625,0.005375,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
56,Industrial_Estate,101.27848101265825,ROOTSIFT,3.886075949367088,0.0383702037245344,0.9616297962754656,0.0383702037245344,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
57,Industrial_Estate,101.26582278481013,ROOTSIFT,2.8860759493670884,0.0284999999999999,0.9715,0.0284999999999999,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
58,Industrial_Estate,101.26582278481013,ROOTSIFT,2.367088607594937,0.023375,0.976625,0.023375,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
59,Industrial_Estate,101.26582278481013,ROOTSIFT,9.620253164556962,0.095,0.905,0.095,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
60,Industrial_Estate,101.26582278481013,ROOTSIFT,0.620253164556962,0.0061249999999999,0.993875,0.0061249999999999,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
61,Industrial_Estate,101.26582278481013,ROOTSIFT,0.9367088607594936,0.00925,0.99075,0.0092499999999999,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
62,Industrial_Estate,101.27848101265825,ROOTSIFT,0.5316455696202531,0.0052493438320209,0.994750656167979,0.005249343832021,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
63,Industrial_Estate,101.26582278481013,ROOTSIFT,0.6582278481012658,0.0065,0.9935,0.0064999999999999,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
64,Industrial_Estate,101.26582278481013,ROOTSIFT,0.2658227848101265,0.0026249999999999,0.997375,0.0026249999999999,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
65,Industrial_Estate,101.26582278481013,ROOTSIFT,2.2025316455696204,0.02175,0.97825,0.02175,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
66,Industrial_Estate,101.26582278481013,ROOTSIFT,0.5822784810126582,0.00575,0.99425,0.00575,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
67,Industrial_Estate,101.26582278481013,ROOTSIFT,0.5316455696202531,0.0052499999999999,0.99475,0.0052499999999999,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
68,Industrial_Estate,101.26582278481013,ROOTSIFT,0.8227848101265823,0.008125,0.991875,0.0081249999999999,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
69,Industrial_Estate,101.27848101265825,ROOTSIFT,0.8481012658227848,0.008373953255843,0.9916260467441568,0.008373953255843,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
70,Industrial_Estate,101.26582278481013,ROOTSIFT,0.0759493670886076,0.00075,0.99925,0.00075,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
71,Industrial_Estate,101.26582278481013,ROOTSIFT,1.2278481012658229,0.012125,0.987875,0.0121249999999999,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
72,Industrial_Estate,101.27848101265825,ROOTSIFT,3.924050632911392,0.038745156855393,0.961254843144607,0.038745156855393,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
73,Industrial_Estate,101.26582278481013,ROOTSIFT,0.4556962025316455,0.0045,0.9955,0.0044999999999999,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
74,Industrial_Estate,101.26582278481013,ROOTSIFT,0.5443037974683544,0.005375,0.994625,0.005375,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
75,Industrial_Estate,101.26582278481013,ROOTSIFT,4.468354430379747,0.044125,0.955875,0.0441249999999999,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
76,Industrial_Estate,101.26582278481013,ROOTSIFT,0.5063291139240507,0.005,0.995,0.005,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
77,Industrial_Estate,101.26582278481013,ROOTSIFT,2.5063291139240507,0.02475,0.97525,0.02475,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
78,Industrial_Estate,101.26582278481013,ROOTSIFT,2.2151898734177213,0.021875,0.978125,0.021875,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
79,Industrial_Estate,101.26582278481013,ROOTSIFT,0.2278481012658227,0.00225,0.99775,0.0022499999999999,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
80,Industrial_Estate,101.26582278481013,ROOTSIFT,0.3924050632911392,0.003875,0.996125,0.0038749999999999,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
81,Industrial_Estate,101.26582278481013,ROOTSIFT,1.5822784810126582,0.015625,0.984375,0.015625,B,"ENHANCEROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
