,Dataset,Number of Keypoints,Detector/Descriptor
0,Industrial_Estate,102.76,SUPERPOINT
1,Industrial_Estate,93.98,SUPERPOINT
2,Industrial_Estate,95.56,SUPERPOINT
3,Industrial_Estate,93.98,SUPERPOINT
4,Industrial_Estate,93.42,SUPERPOINT
5,Industrial_Estate,101.84,SUPERPOINT
6,Industrial_Estate,112.56,SUPERPOINT
7,Industrial_Estate,99.74,SUPERPOINT
8,Industrial_Estate,109.52,SUPERPOINT
9,Industrial_Estate,103.16,SUPERPOINT
10,Industrial_Estate,76.12,SUPERPOINT
11,Industrial_Estate,65.24,SUPERPOINT
12,Industrial_Estate,73.26,SUPERPOINT
13,Industrial_Estate,78.64,SUPERPOINT
14,Industrial_Estate,81.8,SUPERPOINT
15,Industrial_Estate,97.4,SUPERPOINT
16,Industrial_Estate,105.78,SUPERPOINT
17,Industrial_Estate,124.58,SUPERPOINT
18,Industrial_Estate,124.3,SUPERPOINT
19,Industrial_Estate,78.48,SUPERPOINT
20,Industrial_Estate,82.32,SUPERPOINT
21,Industrial_Estate,92.92,SUPERPOINT
22,Industrial_Estate,103.88,SUPERPOINT
23,Industrial_Estate,104.36,SUPERPOINT
24,Industrial_Estate,108.18,SUPERPOINT
25,Industrial_Estate,83.92,SUPERPOINT
26,Industrial_Estate,78.44,SUPERPOINT
27,Industrial_Estate,113.42,SUPERPOINT
28,Industrial_Estate,129.38,SUPERPOINT
29,Industrial_Estate,107.56,SUPERPOINT
30,Industrial_Estate,92.88,SUPERPOINT
31,Industrial_Estate,97.58,SUPERPOINT
32,Industrial_Estate,84.84,SUPERPOINT
33,Industrial_Estate,57.08,SUPERPOINT
34,Industrial_Estate,49.26,SUPERPOINT
35,Industrial_Estate,48.6,SUPERPOINT
36,Industrial_Estate,99.76,SUPERPOINT
37,Industrial_Estate,124.04,SUPERPOINT
38,Industrial_Estate,100.08,SUPERPOINT
39,Industrial_Estate,92.92,SUPERPOINT
40,Industrial_Estate,63.2,SUPERPOINT
41,Industrial_Estate,61.08,SUPERPOINT
42,Industrial_Estate,60.28,SUPERPOINT
43,Industrial_Estate,101.56,SUPERPOINT
44,Industrial_Estate,95.1,SUPERPOINT
45,Industrial_Estate,79.76,SUPERPOINT
46,Industrial_Estate,84.66,SUPERPOINT
47,Industrial_Estate,96.2,SUPERPOINT
48,Industrial_Estate,86.1,SUPERPOINT
49,Industrial_Estate,81.6,SUPERPOINT
