,Dataset,Number of Keypoints,Detector/Descriptor
0,Industrial_Estate,135.4,SUPERPOINT
1,Industrial_Estate,129.82,SUPERPOINT
2,Industrial_Estate,181.46,SUPERPOINT
3,Industrial_Estate,234.54,SUPERPOINT
4,Industrial_Estate,173.78,SUPERPOINT
5,Industrial_Estate,140.16,SUPERPOINT
6,Industrial_Estate,146.58,SUPERPOINT
7,Industrial_Estate,126.64,SUPERPOINT
8,Industrial_Estate,79.24,SUPERPOINT
9,Industrial_Estate,68.2,SUPERPOINT
10,Industrial_Estate,68.36,SUPERPOINT
11,Industrial_Estate,155.12,SUPERPOINT
12,Industrial_Estate,200.9,SUPERPOINT
13,Industrial_Estate,163.08,SUPERPOINT
14,Industrial_Estate,144.8,SUPERPOINT
15,Industrial_Estate,92.96,SUPERPOINT
16,Industrial_Estate,90.92,SUPERPOINT
17,Industrial_Estate,86.08,SUPERPOINT
18,Industrial_Estate,155.86,SUPERPOINT
19,Industrial_Estate,145.7,SUPERPOINT
20,Industrial_Estate,115.74,SUPERPOINT
21,Industrial_Estate,128.88,SUPERPOINT
22,Industrial_Estate,151.34,SUPERPOINT
23,Industrial_Estate,129.04,SUPERPOINT
24,Industrial_Estate,127.24,SUPERPOINT
25,Industrial_Estate,132.22,SUPERPOINT
26,Industrial_Estate,129.82,SUPERPOINT
27,Industrial_Estate,181.46,SUPERPOINT
28,Industrial_Estate,234.54,SUPERPOINT
29,Industrial_Estate,173.78,SUPERPOINT
30,Industrial_Estate,140.16,SUPERPOINT
31,Industrial_Estate,146.58,SUPERPOINT
32,Industrial_Estate,126.64,SUPERPOINT
33,Industrial_Estate,79.24,SUPERPOINT
34,Industrial_Estate,68.2,SUPERPOINT
35,Industrial_Estate,68.36,SUPERPOINT
36,Industrial_Estate,155.12,SUPERPOINT
37,Industrial_Estate,200.9,SUPERPOINT
38,Industrial_Estate,163.08,SUPERPOINT
39,Industrial_Estate,144.8,SUPERPOINT
40,Industrial_Estate,92.96,SUPERPOINT
41,Industrial_Estate,90.92,SUPERPOINT
42,Industrial_Estate,86.08,SUPERPOINT
43,Industrial_Estate,155.86,SUPERPOINT
44,Industrial_Estate,145.7,SUPERPOINT
45,Industrial_Estate,115.74,SUPERPOINT
46,Industrial_Estate,128.88,SUPERPOINT
47,Industrial_Estate,151.34,SUPERPOINT
48,Industrial_Estate,129.04,SUPERPOINT
49,Industrial_Estate,127.24,SUPERPOINT
