,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Industrial_Estate,0.1992984693877551,SIFT,0.17857142857142858,0.8959999999999999,0.10400000000000002,0.8960000000000001
1,Industrial_Estate,0.1992984693877551,SIFT,0.13392857142857142,0.6719999999999999,0.3280000000000001,0.6719999999999999
2,Industrial_Estate,0.1992984693877551,SIFT,0.22321428571428573,1.12,-0.12,1.12
3,Industrial_Estate,0.1992984693877551,SIFT,0.11607142857142858,0.5824,0.4176,0.5824
4,Industrial_Estate,0.1992984693877551,SIFT,0.4107142857142857,2.0608,-1.0607999999999995,2.0608
5,Industrial_Estate,0.1992984693877551,SIFT,0.11607142857142858,0.5824,0.4176,0.5824
6,Industrial_Estate,0.1992984693877551,SIFT,0.32142857142857145,1.6128,-0.6128,1.6128
7,Industrial_Estate,0.1992984693877551,SIFT,0.3392857142857143,1.7024,-0.7024,1.7024
8,Industrial_Estate,0.1992984693877551,SIFT,0.10714285714285714,0.5376,0.4624,0.5376
9,Industrial_Estate,0.1992984693877551,SIFT,0.20535714285714285,1.0304,-0.030399999999999913,1.0304
10,Industrial_Estate,0.1992984693877551,SIFT,0.07142857142857142,0.35839999999999994,0.6416000000000001,0.35839999999999994
11,Industrial_Estate,0.1993781887755102,SIFT,0.2767857142857143,1.3882447021191524,-0.3882447021191525,1.3882447021191524
12,Industrial_Estate,0.1992984693877551,SIFT,0.2767857142857143,1.3888,-0.3888,1.3888
13,Industrial_Estate,0.1992984693877551,SIFT,0.10714285714285714,0.5376,0.4624,0.5376
14,Industrial_Estate,0.1992984693877551,SIFT,0.08928571428571429,0.44799999999999995,0.552,0.44799999999999995
15,Industrial_Estate,0.1992984693877551,SIFT,1.7232142857142858,8.6464,-7.6464,8.6464
16,Industrial_Estate,0.1992984693877551,SIFT,0.07142857142857142,0.35839999999999994,0.6416000000000001,0.35839999999999994
17,Industrial_Estate,0.1992984693877551,SIFT,0.0625,0.3136,0.6864,0.3136
18,Industrial_Estate,0.1992984693877551,SIFT,0.2767857142857143,1.3888,-0.3888,1.3888
19,Industrial_Estate,0.1992984693877551,SIFT,0.13392857142857142,0.6719999999999999,0.3280000000000001,0.6719999999999999
20,Industrial_Estate,0.1992984693877551,SIFT,0.25,1.2544,-0.2544,1.2544
21,Industrial_Estate,0.1992984693877551,SIFT,0.24107142857142855,1.2096,-0.20959999999999995,1.2096
22,Industrial_Estate,0.1992984693877551,SIFT,0.29464285714285715,1.4784,-0.4784,1.4783999999999995
23,Industrial_Estate,0.1992984693877551,SIFT,0.10714285714285714,0.5376,0.4624,0.5376
24,Industrial_Estate,0.1994579081632653,SIFT,0.8571428571428571,4.297362110311751,-3.29736211031175,4.297362110311751
25,Industrial_Estate,0.1992984693877551,SIFT,0.2857142857142857,1.4335999999999998,-0.4335999999999999,1.4335999999999998
26,Industrial_Estate,0.1992984693877551,SIFT,0.29464285714285715,1.4784,-0.4784,1.4783999999999995
27,Industrial_Estate,0.1992984693877551,SIFT,0.22321428571428573,1.12,-0.12,1.12
28,Industrial_Estate,0.1992984693877551,SIFT,0.7678571428571429,3.8528,-2.8528,3.8528
29,Industrial_Estate,0.1992984693877551,SIFT,0.4375,2.1952,-1.1951999999999998,2.1952
30,Industrial_Estate,0.1992984693877551,SIFT,0.2767857142857143,1.3888,-0.3888,1.3888
31,Industrial_Estate,0.1992984693877551,SIFT,0.23214285714285715,1.1648,-0.16479999999999995,1.1648
32,Industrial_Estate,0.1992984693877551,SIFT,0.15178571428571427,0.7615999999999999,0.2384000000000001,0.7615999999999998
33,Industrial_Estate,0.1992984693877551,SIFT,0.14285714285714285,0.7167999999999999,0.2832000000000001,0.7167999999999999
34,Industrial_Estate,0.1992984693877551,SIFT,0.24107142857142855,1.2096,-0.20959999999999995,1.2096
35,Industrial_Estate,0.1992984693877551,SIFT,0.10714285714285714,0.5376,0.4624,0.5376
36,Industrial_Estate,0.1992984693877551,SIFT,0.23214285714285715,1.1648,-0.16479999999999995,1.1648
37,Industrial_Estate,0.1992984693877551,SIFT,0.07142857142857142,0.35839999999999994,0.6416000000000001,0.35839999999999994
38,Industrial_Estate,0.1992984693877551,SIFT,0.2767857142857143,1.3888,-0.3888,1.3888
39,Industrial_Estate,0.1992984693877551,SIFT,0.0625,0.3136,0.6864,0.3136
40,Industrial_Estate,0.1992984693877551,SIFT,0.08035714285714286,0.4032,0.5968,0.4032
