,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Industrial_Estate,32.232142857142854,BRISK+FREAK,0.125,0.0038781163434903052,0.9961218836565097,0.00387811634349032
1,Industrial_Estate,20.473214285714285,BRISK+FREAK,0.0625,0.003052769297863062,0.996947230702137,0.0030527692978630423
2,Industrial_Estate,18.892857142857142,BRISK+FREAK,0.10714285714285714,0.005671077504725897,0.994328922495274,0.005671077504725925
3,Industrial_Estate,37.8125,BRISK+FREAK,0.07142857142857142,0.0018890200708382525,0.9981109799291618,0.0018890200708382477
4,Industrial_Estate,23.669642857142858,BRISK+FREAK,0.3125,0.013202565069784986,0.986797434930215,0.013202565069784998
5,Industrial_Estate,15.035714285714286,BRISK+FREAK,0.08928571428571429,0.0059382422802850355,0.9940617577197151,0.00593824228028499
6,Industrial_Estate,38.455357142857146,BRISK+FREAK,0.5982142857142857,0.015556071511492917,0.9844439284885071,0.015556071511492886
7,Industrial_Estate,230.8125,BRISK+FREAK,1.0,0.004332520985648524,0.9956674790143515,0.004332520985648519
8,Industrial_Estate,288.0357142857143,BRISK+FREAK,0.5892857142857143,0.002045877247365158,0.9979541227526348,0.002045877247365158
9,Industrial_Estate,324.35714285714283,BRISK+FREAK,0.6339285714285714,0.0019544153270204803,0.9980455846729795,0.001954415327020467
10,Industrial_Estate,251.375,BRISK+FREAK,0.05357142857142857,0.00021311358954322654,0.9997868864104569,0.00021311358954317504
11,Industrial_Estate,141.9375,BRISK+FREAK,0.8839285714285714,0.006227590111341762,0.9937724098886581,0.006227590111341823
12,Industrial_Estate,151.0,BRISK+FREAK,0.30357142857142855,0.0020104068117313147,0.9979895931882687,0.002010406811731286
13,Industrial_Estate,124.47321428571429,BRISK+FREAK,0.07142857142857142,0.0005738469263324008,0.9994261530736677,0.000573846926332367
14,Industrial_Estate,16.9375,BRISK+FREAK,0.05357142857142857,0.0031628887717448603,0.9968371112282552,0.0031628887717448074
15,Industrial_Estate,32.910714285714285,BRISK+FREAK,0.3125,0.009495387954422138,0.9905046120455778,0.009495387954422155
16,Industrial_Estate,81.29464285714286,BRISK+FREAK,0.0625,0.0007688083470620537,0.999231191652938,0.0007688083470620546
17,Industrial_Estate,198.65178571428572,BRISK+FREAK,0.0625,0.00031462088183738593,0.9996853791181626,0.000314620881837405
18,Industrial_Estate,292.86607142857144,BRISK+FREAK,0.6071428571428571,0.002073107527209536,0.9979268924727905,0.0020731075272094985
19,Industrial_Estate,255.21428571428572,BRISK+FREAK,0.49107142857142855,0.0019241533725160927,0.9980758466274839,0.0019241533725160751
20,Industrial_Estate,98.49107142857143,BRISK+FREAK,0.25892857142857145,0.0026289547638473393,0.9973710452361527,0.00262895476384731
21,Industrial_Estate,22.178571428571427,BRISK+FREAK,0.0625,0.0028180354267310793,0.9971819645732689,0.0028180354267310853
22,Industrial_Estate,18.089285714285715,BRISK+FREAK,0.05357142857142857,0.002961500493583415,0.9970384995064167,0.002961500493583381
23,Industrial_Estate,24.776785714285715,BRISK+FREAK,0.07142857142857142,0.0028828828828828825,0.997117117117117,0.0028828828828829237
24,Industrial_Estate,39.964285714285715,BRISK+FREAK,0.29464285714285715,0.007372654155495978,0.9926273458445041,0.007372654155495953
25,Industrial_Estate,34.464285714285715,BRISK+FREAK,0.24107142857142858,0.006994818652849741,0.9930051813471502,0.006994818652849765
