,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Industrial_Estate,57.04464285714285,FAST+SIFT,0.25,0.0043825324776960405,0.9956174675223041,0.004382532477696042
1,Industrial_Estate,36.57142857142857,FAST+SIFT,0.125,0.00341796875,0.99658203125,0.00341796875
2,Industrial_Estate,50.30357142857143,FAST+SIFT,2.7857142857142856,0.05537806176783812,0.944621938232162,0.05537806176783811
3,Industrial_Estate,99.79464285714286,FAST+SIFT,2.0535714285714284,0.020577972622349464,0.9794220273776504,0.020577972622349484
4,Industrial_Estate,76.98214285714286,FAST+SIFT,2.1160714285714284,0.027487821851078637,0.9725121781489212,0.027487821851078655
5,Industrial_Estate,52.839285714285715,FAST+SIFT,2.517857142857143,0.04765123352483947,0.9523487664751604,0.047651233524839534
6,Industrial_Estate,166.36607142857142,FAST+SIFT,12.455357142857142,0.07486717114796329,0.9251328288520368,0.07486717114796328
7,Industrial_Estate,775.5714285714287,FAST+SIFT,127.00892857142857,0.16376174249401362,0.8362382575059863,0.16376174249401362
8,Industrial_Estate,935.0446428571428,FAST+SIFT,59.0625,0.0631654332776319,0.936834566722368,0.0631654332776319
9,Industrial_Estate,940.9642857142856,FAST+SIFT,48.86607142857143,0.05193190875621513,0.9480680912437848,0.05193190875621512
10,Industrial_Estate,770.1339285714287,FAST+SIFT,7.875,0.010225494174250768,0.9897745058257492,0.010225494174250777
11,Industrial_Estate,458.1071428571428,FAST+SIFT,7.875,0.01719030170733609,0.982809698292664,0.017190301707336066
12,Industrial_Estate,457.8928571428572,FAST+SIFT,3.6071428571428568,0.0078777006473754,0.9921222993526246,0.007877700647375382
13,Industrial_Estate,410.44642857142856,FAST+SIFT,0.04464285714285714,0.00010876658690450294,0.9998912334130956,0.00010876658690444965
14,Industrial_Estate,41.214285714285715,FAST+SIFT,0.05357142857142857,0.0012998266897746966,0.9987001733102252,0.0012998266897747467
15,Industrial_Estate,116.60714285714286,FAST+SIFT,8.875,0.07611026033690657,0.9238897396630934,0.07611026033690657
16,Industrial_Estate,350.0446428571428,FAST+SIFT,0.08928571428571429,0.000255069506440505,0.9997449304935596,0.0002550695064405012
17,Industrial_Estate,721.3660714285713,FAST+SIFT,0.05357142857142857,7.426385949277783e-05,0.9999257361405072,7.426385949280347e-05
18,Industrial_Estate,950.5267857142856,FAST+SIFT,0.0625,6.575301289698382e-05,0.9999342469871031,6.575301289700117e-05
19,Industrial_Estate,831.3125,FAST+SIFT,0.3035714285714285,0.00036517125457806606,0.999634828745422,0.0003651712545781
20,Industrial_Estate,404.83928571428567,FAST+SIFT,0.23214285714285715,0.0005734197873935867,0.9994265802126064,0.0005734197873935728
21,Industrial_Estate,100.0,FAST+SIFT,0.3035714285714285,0.0030357142857142857,0.9969642857142856,0.003035714285714269
22,Industrial_Estate,37.651785714285715,FAST+SIFT,0.08928571428571429,0.002371354043158644,0.9976286459568412,0.002371354043158667
23,Industrial_Estate,75.88392857142857,FAST+SIFT,1.2946428571428572,0.017060830685963056,0.9829391693140368,0.017060830685963074
24,Industrial_Estate,122.85714285714286,FAST+SIFT,1.7142857142857142,0.01395348837209302,0.986046511627907,0.013953488372093002
25,Industrial_Estate,62.36607142857143,FAST+SIFT,0.09821428571428573,0.0015748031496062992,0.9984251968503938,0.0015748031496062645
26,Industrial_Estate,68.375,FAST+SIFT,0.4642857142857143,0.006790284669626535,0.9932097153303736,0.006790284669626517
27,Industrial_Estate,59.41964285714285,FAST+SIFT,0.08928571428571429,0.0015026296018031554,0.9984973703981967,0.001502629601803148
28,Industrial_Estate,59.47321428571429,FAST+SIFT,0.08035714285714286,0.0013511484762047741,0.9986488515237952,0.0013511484762048255
29,Industrial_Estate,51.70535714285714,FAST+SIFT,2.392857142857143,0.0462787083405284,0.9537212916594716,0.04627870834052845
30,Industrial_Estate,89.375,FAST+SIFT,0.5625,0.006293706293706294,0.9937062937062936,0.006293706293706292
31,Industrial_Estate,58.67857142857143,FAST+SIFT,0.8125,0.013846622032866707,0.9861533779671332,0.013846622032866695
32,Industrial_Estate,55.07142857142857,FAST+SIFT,0.7857142857142857,0.014267185473411154,0.9857328145265888,0.014267185473411131
33,Industrial_Estate,39.4375,FAST+SIFT,3.1696428571428568,0.08037129273262396,0.919628707267376,0.08037129273262393
34,Industrial_Estate,88.61607142857143,FAST+SIFT,0.24107142857142855,0.002720403022670025,0.99727959697733,0.002720403022670048
35,Industrial_Estate,42.464285714285715,FAST+SIFT,0.0625,0.0014718250630782169,0.9985281749369218,0.0014718250630782045
36,Industrial_Estate,67.09821428571429,FAST+SIFT,0.10714285714285714,0.0015968063872255484,0.9984031936127744,0.0015968063872255696
37,Industrial_Estate,107.45535714285714,FAST+SIFT,2.580357142857143,0.024013294557540508,0.9759867054424596,0.024013294557540463
38,Industrial_Estate,179.6160714285714,FAST+SIFT,15.982142857142858,0.0889794700999155,0.9110205299000844,0.08897947009991547
39,Industrial_Estate,275.98214285714283,FAST+SIFT,0.04464285714285714,0.00016175994823681658,0.9998382400517632,0.0001617599482367835
40,Industrial_Estate,218.79464285714286,FAST+SIFT,0.25,0.0011426239542950418,0.9988573760457048,0.0011426239542950693
41,Industrial_Estate,431.0803571428572,FAST+SIFT,22.428571428571423,0.05202874836892359,0.9479712516310764,0.052028748368923634
42,Industrial_Estate,147.08035714285714,FAST+SIFT,0.24107142857142855,0.0016390457111637225,0.9983609542888364,0.0016390457111637056
